역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
116,부산원동역,k0211,동해선,Busanwondong,釜山院洞,일반역,,,35.362703,128.920499,한국철도공사,부산시 동래구 안락동 52-2,1544-7788,2020-12-31
336,임진강역,k0203,경의중앙선,Imjingang,臨津江,일반역,,,37.888364,126.746777,한국철도공사,경기도 파주시 문산읍 임진각로 115(문산읍),1544-7788,2020-12-31
313,서울역,k0203,경의중앙선,Seoul station,,환승역,,경의/1/4,37.554713,126.970787,한국철도공사,서울시 용산구 한강대로 405,1544-7788,2020-12-31
314,신촌역,k0203,경의중앙선,Sinchon,新 村,일반역,,,37.559768,126.942308,한국철도공사,서울특별시 서대문구 대현동 74-12,1544-7788,2020-12-31
315,가좌역,k0203,경의중앙선,Gajwa,加 佐,환승역,,,37.568611,126.914841,한국철도공사,서울시 서대문구 수색로 27(남가좌동),1544-7788,2020-12-31
311,효창공원앞역,k2031,경의중앙선,hyochang park,孝昌公圓앞,환승역,,경의중앙/6,37.539289,126.961339,한국철도공사,서울시 용산구 용문동 5-133,1544-7788,2020-12-31
312,공덕역,k0203,경의중앙선,Gongdeok,孔德,환승역,,5/6/경의중앙,37.542611,126.952134,한국철도공사,서울시 마포구 공덕동 마포대로 자하100,1544-7788,2020-12-31
313,서강대역,k0203,경의중앙선,Sogang Univ,西江大,일반역,,,37.552132,126.935389,한국철도공사,서울시 마포구 서강로 지하118,1544-7788,2020-12-31
314,홍대입구역,k2031,경의중앙선,Hongik Univ.,弘大入口,환승역,,2/공항/경의중앙,37.55808,126.925533,한국철도공사,서울시 마포구 양화로 지하 188,1544-7788,2020-12-31
316,디지털미디어시티역,k0203,경의중앙선,Digital Media City,디지털미디어시티,환승역,,6/공항/경의중앙,37.577964,126.900421,한국철도공사,서울시 은평구 수색로 193(수색동 37-2),1544-7788,2020-12-31
317,수색역,k0203,경의중앙선,Susaek,水 色,일반역,,,37.580855,126.895681,한국철도공사,서울시 은평구 수색로 261-1,1544-7788,2020-12-31
318,화전역,k0203,경의중앙선,Hwajeon,花 田,일반역,,,37.637837,126.832503,한국철도공사,경기도 고양시 덕양구 화랑로 53(화전동 183-10),1544-7788,2020-12-31
319,강매역,k0203,경의중앙선,Gangmae,江 梅,일반역,,,37.612596,126.845437,한국철도공사,경기도 고양시 덕양구 행신동 108-5,1544-7788,2020-12-31
320,행신역,k0203,경의중앙선,Haengsin,幸 信,일반역,,,37.612125,126.834063,한국철도공사,경기도 고양시 덕양구 행신동 충경로 124번지(행신2동 812),1544-7788,2020-12-31
321,능곡역,k0203,경의중앙선,Neunggok,陵 谷,일반역,,,37.618741,126.820845,한국철도공사,경기도 고양시 덕양구 토당로 35(토당동 454-3),1544-7788,2020-12-31
323,곡산역,k0203,경의중앙선,Goksan,谷 山,일반역,,,37.645729,126.801877,한국철도공사,경기도 고양시 일산동구 경의로 160(백석동),1544-7788,2020-12-31
324,백마역,k0203,경의중앙선,Baengma,白 馬,일반역,,,37.658346,126.794401,한국철도공사,경기도 고양시 일산동구 경의로 318(풍동 482-8),1544-7788,2020-12-31
325,풍산역,k0203,경의중앙선,Pungsan,楓山,일반역,,,37.672173,126.786355,한국철도공사,경기도 고양시 일산동구 경의로 486(풍동),1544-7788,2020-12-31
326,일산역,k0203,경의중앙선,Ilsan,一 山,일반역,,,37.682231,126.769521,한국철도공사,경기도 고양시 일산서구 경의로 672,1544-7788,2020-12-31
327,탄현역,k0203,경의중앙선,Tanhyeon,炭 峴,일반역,,,37.694114,126.761075,한국철도공사,경기도 고양시 일산서구 경의로 856(덕이동),1544-7788,2020-12-31
328,야당역,k0203,경의중앙선,Yadang,野?,일반역,,,37.712749,126.761535,한국철도공사,경기도 파주시 야당동 836번지,1544-7788,2020-12-31
116,왕십리역,k0205,경의중앙선,Wangsimni,往十里,환승역,k0205+k0304,경의중앙/분당/2/5,37.561128,127.035505,한국철도공사,서울시 성동구 왕십리 광장로 17(행당동),1544-7788,2020-12-31
117,청량리역,k0205,경의중앙선,Cheongnyangni,淸凉里,환승역,k0205+k0210,경원/경춘/1,37.580543,127.046516,한국철도공사,서울시 동대문구 왕산로 214,1544-7788,2020-12-31
123,회기역,k0205,경원선,Hoegi,回 基,환승역,k0205+k0210,경의중앙/경춘/1,37.589802,127.057936,한국철도공사,서울시 동대문구 회기로196(휘경동 317-101),1544-7788,2020-12-31
122,외대앞역,k0205,경원선,Hankuk Univ. of Foreign Studies,外大앞,일반역,,,37.596157,127.063572,한국철도공사,서울시 동대문구 휘경로 27(이문동 360-5),1544-7788,2020-12-31
121,신이문역,k0205,경원선,Sinimun,新里門,일반역,,,37.601829,127.067347,한국철도공사,서울시 동대문구 한천로 472(이문로 7),1544-7788,2020-12-31
120,석계역,k0205,경원선,Seokgye,石 溪,환승역,,경원/6,37.615206,127.065594,한국철도공사,서울시 노원구 화랑로 314(월계동 36-4),1544-7788,2020-12-31
119,광운대역,k0205,경원선,Kwangwoon Univ.,城 北,환승역,,경춘/1,37.623635,127.061975,한국철도공사,서울시 노원구 석계로 98-2(광운대역),1544-7788,2020-12-31
118,월계역,k0205,경원선,Wolgye,月 溪,일반역,,,37.633114,127.058835,한국철도공사,서울시 노원구 월계로 53길 40(월계2동 261),1544-7788,2020-12-31
117,녹천역,k0205,경원선,Nokcheon,鹿 川,일반역,,,37.644599,127.051406,한국철도공사,서울시 도봉구 덕릉로 376(창동),1544-7788,2020-12-31
116,창동역,k0205,경원선,Chang-dong,倉 洞,환승역,,경원/4,37.653181,127.047663,한국철도공사,서울시 도봉구 마들로 11길 77(창1동 135-86),1544-7788,2020-12-31
115,방학역,k0205,경원선,Banghak,放 鶴,일반역,,,37.667471,127.044295,한국철도공사,서울시 도봉구 도봉로 150다길 3,1544-7788,2020-12-31
114,도봉역,k0205,경원선,Dobong,道 峰,일반역,,,37.679441,127.045521,한국철도공사,서울시 도봉구 도봉로 170길 2,1544-7788,2020-12-31
113,도봉산역,k0205,경원선,Dobongsan,道峰山,환승역,,경원/7,37.689603,127.046347,한국철도공사,서울시 도봉구 도봉로 964-33,1544-7788,2020-12-31
112,망월사역,k0205,경원선,Mangwolsa,望月寺,일반역,,,37.710499,127.047361,한국철도공사,경기도 의정부시 회룡로 111(호원동),1544-7788,2020-12-31
111,회룡역,k0205,경원선,Hoeryong,回 龍,환승역,,경원/경전철,37.724037,127.047319,한국철도공사,경기도 의정부시 평화로 363,1544-7788,2020-12-31
110,의정부역,k0205,경원선,Uijeongbu,議政府,일반역,,,37.73873,127.045891,한국철도공사,경기도 의정부시 평화로 525,1544-7788,2020-12-31
109,가능역,k0205,경원선,Ganeung,佳 陵,일반역,,,37.748362,127.044251,한국철도공사,경기도 의정부시 평화로 633,1544-7788,2020-12-31
108,녹양역,k0205,경원선,Nogyang,綠 楊,일반역,,,37.759416,127.042272,한국철도공사,경기도 의정부시 평화로 757(녹양동 973),1544-7788,2020-12-31
107,양주역,k0205,경원선,Yangju,楊 州,일반역,,,37.774281,127.044719,한국철도공사,경기도 양주시 평화로 919(남방동 94-1),1544-7788,2020-12-31
106,덕계역,k0205,경원선,Deokgye,德 溪,일반역,,,37.818761,127.056676,한국철도공사,경기도 양주시 고덕로 139번길 317번지,1544-7788,2020-12-31
105,덕정역,k0205,경원선,Deokjeong,德 亭,일반역,,,37.843216,127.061511,한국철도공사,경기도 양주시 화합로 1356,1544-7788,2020-12-31
104,지행역,k0205,경원선,Jihaeng,紙 杏,일반역,,,37.892361,127.055734,한국철도공사,경기도 동두천시 평화로 2285(지행동),1544-7788,2020-12-31
103,동두천중앙역,k0205,경원선,Dongducheon jungang,東豆川中央,일반역,,,37.901818,127.056528,한국철도공사,경기도 동두천시 동두천로 228(생연동 682),1544-7788,2020-12-31
102,보산역,k0205,경원선,Bosan,保 山,일반역,,,37.914268,127.057134,한국철도공사,경기도 동두천시 평화로 2539(보산동),1544-7788,2020-12-31
101,동두천역,k0205,경원선,Dongducheon,東豆川,일반역,,,37.927569,127.054825,한국철도공사,경기도 동두천시 평화로 2687(동두천동 245-210),1544-7788,2020-12-31
100,소요산역,k0205,경원선,Soyosan,逍遙山,일반역,,,37.948608,127.061007,한국철도공사,경기도 동두천시 평화로 2925(상봉암동 126),1544-7788,2020-12-31
119,중랑역,k0212,경의중앙선,Jungnang,中 浪,환승역,k0212+k0210,경의중앙/경춘,37.594948,127.076152,한국철도공사,서울특별시 중랑구 중화동 321-37,1544-7788,2020-12-31
120,상봉역,k0212,경의중앙선,Sangbong,,환승역,k0212+k0210,경의중앙/경춘/7,37.595254,127.085853,한국철도공사,서울시 중랑구 망우로 297(상봉1동 100-9번지),1544-7788,2020-12-31
121,망우역,k0212,경의중앙선,Mangu,忘 憂,환승역,k0212+k0210,경의중앙/경춘,37.599288,127.092318,한국철도공사,서울시 중랑구 망우로 55길 11-10,1544-7788,2020-12-31
122,양원역,k0212,경의중앙선,Yangwon,養 源,일반역,,,36.963209,129.091131,한국철도공사,서울시 중랑구 송림길 147(망우동),1544-7788,2020-12-31
138,지평역,k0212,경의중앙선,jipyeong,,일반역,,,37.476496,127.629681,한국철도공사,경기도 양평군 지평면 지평역길 32,1544-7788,2020-12-31
123,구리역,k0212,경의중앙선,Guri,九 里,일반역,,,37.503178,126.882037,한국철도공사,경기도 구리시 건원대로 34번길 32-29(인창동 244-2),1544-7788,2020-12-31
124,도농역,k0212,경의중앙선,Donong,陶 農,일반역,,,37.608756,127.161105,한국철도공사,경기도 남양주시 경춘로 433(도농동 56-1),1544-7788,2020-12-31
125,양정역,k0212,경의중앙선,Yangjeong,養 正,일반역,,,37.604269,127.194602,한국철도공사,경기도 남양주시 경강로 237(이패동 398-32),1544-7788,2020-12-31
126,덕소역,k0212,경의중앙선,Deokso,德 沼,일반역,,,37.586892,127.208835,한국철도공사,경기도 남양주시 와부읍 덕서로 56(덕소리 590-17),1544-7788,2020-12-31
127,도심역,k0212,경의중앙선,Dosim,陶 深,일반역,,,37.579628,127.222798,한국철도공사,경기도 남양주시 와부읍 덕소로 237(도곡리 1024-2),1544-7788,2020-12-31
128,팔당역,k0212,경의중앙선,Paldang,八 堂,일반역,,,37.547321,127.243896,한국철도공사,경기도 남양주시 와부읍 팔당로 107번길,1544-7788,2020-12-31
129,운길산역,k0212,경의중앙선,Ungilsan,蕓吉山,일반역,,,37.554659,127.310089,한국철도공사,경기도 남양주시 조안면 진중리 255-1,1544-7788,2020-12-31
130,양수역,k0212,경의중앙선,Yangsu,兩 水,일반역,,,37.545998,127.328948,한국철도공사,경기도 양평군 양서면 목왕로 55-10,1544-7788,2020-12-31
131,신원역,k0212,경의중앙선,Sinwon,新 院,일반역,,,37.525921,127.372745,한국철도공사,경기도 양평군 양서면 신원역길 5-3,1544-7788,2020-12-31
132,국수역,k0212,경의중앙선,Guksu,菊 秀,일반역,,,37.516171,127.399402,한국철도공사,경기도 양평군 양서면 국수역길 45,1544-7788,2020-12-31
133,아신역,k0212,경의중앙선,Asin,我 新,일반역,,,37.513954,127.443238,한국철도공사,경기도 양평군 옥천면 아신역길 1길 23-3,1544-7788,2020-12-31
134,오빈역,k0212,경의중앙선,Obin,梧濱,일반역,,,37.506061,127.474053,한국철도공사,경기도 양평군 양평읍 덕바위길 29번길,1544-7788,2020-12-31
135,양평역,k0212,경의중앙선,Yangpyeong,楊 平,일반역,,,37.492674,127.491858,한국철도공사,경기도 양평군 양평읍 양근리 137,1544-7788,2020-12-31
136,원덕역,k0212,경의중앙선,Wondeok,元 德,일반역,,,37.468585,127.547468,한국철도공사,경기도 양평군 양평읍 원덕흑천길 136,1544-7788,2020-12-31
137,용문역,k0212,경의중앙선,Yongmun,龍 門,일반역,,,37.482085,127.594251,한국철도공사,경기도 양평군 용문면 용문역길 18,1544-7788,2020-12-31
211,서울숲역,k0304,분당선,Seoul-forest,,일반역,,,37.543647,127.044686,한국철도공사,서울시 성동구 왕십리로 지하 77,1544-7788,2020-12-31
212,압구정로데오역,k0304,분당선,Apgujeongrodeo,,일반역,,,37.527385,127.040555,한국철도공사,서울시 강남구 압구정동 495(강남구 압구정로 지하 402),1544-7788,2020-12-31
213,강남구청역,k0304,분당선,Gangnam-gu Office,江南區廳,환승역,,분당/7,37.517172,127.041275,한국철도공사,서울시 강남구 학동로 지하 364,1544-7788,2020-12-31
214,선정릉역,k0304,분당선,Seonjeongneung,,환승역,,분당/9,37.510275,127.043817,한국철도공사,서울시 강남구 선릉로 지하 580(삼성동),1544-7788,2020-12-31
215,선릉역,k0304,분당선,Seolleung,宣 陵,환승역,,분당/2,37.504479,127.048941,한국철도공사,서울시 강남구 테헤란로 지하 340,1544-7788,2020-12-31
216,한티역,k0304,분당선,Hanti,-,일반역,,,37.496208,127.052883,한국철도공사,서울시 강남구 선릉로 지하 228,1544-7788,2020-12-31
217,도곡역,k0304,분당선,Dogok,道 谷,환승역,k0304+k0218,분당/3,37.490914,127.055393,한국철도공사,서울시 강남구 남부순환로 지하 2814,1544-7788,2020-12-31
218,구룡역,k0304,분당선,Guryong,九 龍,일반역,,,37.486985,127.059496,한국철도공사,서울시 강남구 개포동 175번지,1544-7788,2020-12-31
219,개포동역,k0304,분당선,Gaepo-dong,開 浦 洞,일반역,,,37.489112,127.066027,한국철도공사,서울시 강남구 개포동 지하 420(개포동),1544-7788,2020-12-31
220,대모산입구역,k0304,분당선,Daemosan,大 母 山入 口,일반역,,,37.491347,127.072702,한국철도공사,서울시 강남구 일원동 611번지,1544-7788,2020-12-31
221,수서역,k0304,분당선,Suseo,水 西,환승역,k0304+k0218,분당/3,37.487633,127.101118,한국철도공사,서울시 강남구 광평로 지하 270(수서동),1544-7788,2020-12-31
222,복정역,k0304,분당선,Bokjeong,福 井,환승역,k0304+k0218,분당/8,37.469753,127.126627,한국철도공사,경기도 성남시 수정구 복정로 4,1544-7788,2020-12-31
223,가천대역,k0304,분당선,Gachon Univ.,,일반역,,,37.448784,127.126677,한국철도공사,경기도 성남시 수정구 태평1동 5113-9,1544-7788,2020-12-31
224,태평역,k0304,분당선,Taepyeong,太 平,일반역,,,37.439842,127.127746,한국철도공사,경기도 성남시 수정구 성남대로 지하 1229번지,1544-7788,2020-12-31
225,모란역,k0304,분당선,Moran,牡 丹,환승역,k0304+k0218,분당/8,37.432124,127.129064,한국철도공사,경기도 성남시 중원구 성남대로 지하 1147(성남동 1575),1544-7788,2020-12-31
226,야탑역,k0304,분당선,Yatap,野 塔,일반역,,,37.41132,127.128661,한국철도공사,경기도 성남시 성남대로 지하 903(야탑동 688-1),1544-7788,2020-12-31
227,이매역,k0304,분당선,Imae,二 梅,환승역,k0304+k0218,분당/경강,37.395846,127.128272,한국철도공사,경기도 성남시 성남대로 지하 738,1544-7788,2020-12-31
228,서현역,k0304,분당선,Seohyeon,書 峴,일반역,,,37.384931,127.123249,한국철도공사,경기도 성남시 분당구 성남대로 지하 601,1544-7788,2020-12-31
229,수내역,k0304,분당선,Sunae,藪 內,일반역,,,37.378435,127.114216,한국철도공사,경기도 성남시 분당구 성남대로 지하 491(수내동),1544-7788,2020-12-31
230,정자역,k0304,분당선,Jeongja,亭 子,환승역,,분당/신분당,37.366037,127.108091,한국철도공사,경기도 성남시 분당구 성남대로 지하 333(정자동),1544-7788,2020-12-31
231,미금역,k0304,분당선,Migeum,美 金,일반역,,,37.350078,127.108952,한국철도공사,경기도 성남시 수정구 성남대로 지하 156,1544-7788,2020-12-31
232,오리역,k0304,분당선,Ori,梧 里,일반역,,,37.339832,127.108985,한국철도공사,경기도 성남시 분당구 성남대로 지하 55(구미동 795),1544-7788,2020-12-31
233,죽전역,k0304,분당선,Jukjeon,竹 田,일반역,,,37.324575,127.107385,한국철도공사,경기도 용인시 수지구 포은대로 536(죽전동 1014),1544-7788,2020-12-31
234,보정역,k0304,분당선,Bojeong,寶 亭,일반역,,,37.31274,127.108219,한국철도공사,경기도 용인시 수지구 포은대로 536(죽전동 1014),1544-7788,2020-12-31
235,구성역,k0304,분당선,Guseong,駒 城,일반역,,,37.299013,127.105664,한국철도공사,경기도 용인시 기흥구 용구대로 2403,1544-7788,2020-12-31
236,신갈역,k0304,분당선,Singal,新 葛,일반역,,,37.286127,127.111311,한국철도공사,경기도 용인시 기흥구 기흥로 136,1544-7788,2020-12-31
237,기흥역,k0304,분당선,Giheung,器 興,환승역,k0304+k0218,분당/경전철,37.275657,127.115944,한국철도공사,경기도 용인시 중부대로 460,1544-7788,2020-12-31
238,상갈역,k0304,분당선,Sanggal,上 葛,일반역,,,37.261797,127.108718,한국철도공사,경기도 용인시 기흥구 금화로 지하 40,1544-7788,2020-12-31
239,청명역,k0304,분당선,Cheongmyeong,淸 明,일반역,,,37.259485,127.078945,한국철도공사,경기도 수원시 영통구 봉영로 지하 1670,1544-7788,2020-12-31
240,영통역,k0304,분당선,Yeongtong,靈 通,일반역,,,37.251521,127.071341,한국철도공사,경기도 수원시 영통구 봉영로 지하 1560,1544-7788,2020-12-31
241,망포역,k0304,분당선,Mangpo,網 浦,일반역,,,37.245793,127.057367,한국철도공사,경기도 수원시 영통구 봉영로 지하 1520,1544-7788,2020-12-31
242,매탄권선역,k0304,분당선,Maetan Gwonseon,梅灘勸善,일반역,,,37.252458,127.040824,한국철도공사,경기도 수원시 권선구 권선동 1308번지,1544-7788,2020-12-31
243,수원시청역,k0304,분당선,Suwon City Hall,水原市廳,일반역,,,37.261941,127.030736,한국철도공사,경기도 수원시 권선구 권선동 1122,1544-7788,2020-12-31
244,매교역,k0304,분당선,Maegyo,梅橋,일반역,,,37.265502,127.015657,한국철도공사,경기도 수원시 팔달구 매교동 173-22,1544-7788,2020-12-31
122,신내역,k0210,경춘선,Sinnae,新 內,일반역,,,37.612855,127.103277,한국철도공사,서울시 중랑구 망우동 320,1544-7788,2020-12-31
123,갈매역,k0210,경춘선,Galmae,葛 梅,일반역,,,37.634135,127.114803,한국철도공사,경기도 구리시 갈매동 경춘북로 229(갈매동 502-18),1544-7788,2020-12-31
124,별내역,k0210,경춘선,Byeollae,別 內,일반역,,,37.642221,127.127208,한국철도공사,경기도 남양주시 별내동 182-5,1544-7788,2020-12-31
125,퇴계원역,k0210,경춘선,Toegyewon,退溪院,일반역,,,37.648316,127.143858,한국철도공사,경기도 남양주시 퇴계원면 경춘북로 545(퇴계원리 218-8),1544-7788,2020-12-31
126,사릉역,k0210,경춘선,Sareung,思 陵,일반역,,,37.651145,127.176839,한국철도공사,경기도 남양주시 진건읍 진건우회로 72-8(사능리 590-2),1544-7788,2020-12-31
127,금곡역,k0210,경춘선,Geumgok,金 谷,일반역,,,37.637414,127.207931,한국철도공사,경기도 남양주시 경춘로 903(금곡동 404-276),1544-7788,2020-12-31
128,평내호평역,k0210,경춘선,PyeongnaeHopyeong,坪內好坪,일반역,,,37.653229,127.244452,한국철도공사,경기도 남양주시 경춘로 1375(평내동 156),1544-7788,2020-12-31
129,천마산역,k0210,경춘선,Cheonmasan,天摩山,일반역,,,37.658995,127.285731,한국철도공사,경기도 남양주시 화도읍 묵현리 320-25,1544-7788,2020-12-31
130,마석역,k0210,경춘선,Maseok,磨 石,일반역,,,37.652328,127.311713,한국철도공사,경기도 남양주시 화도읍 마석중앙로 83-14(마석우리 222-2),1544-7788,2020-12-31
131,대성리역,k0210,경춘선,Daeseong-ri,大成里,일반역,,,37.683909,127.379165,한국철도공사,경기도 가평군 청평면 경춘로 88(대성리 393),1544-7788,2020-12-31
132,청평역,k0210,경춘선,Cheongpyeong,淸 平,일반역,,,37.735484,127.426541,한국철도공사,경기도 가평군 청평면 청평역로 97-33(청평리 125-1),1544-7788,2020-12-31
133,상천역,k0210,경춘선,Sangcheon,上 泉,일반역,,,37.770405,127.4542,한국철도공사,경기도 가평군 청평면 상천역로 29(상천리 1261),1544-7788,2020-12-31
134,가평역,k0210,경춘선,Gapyeong,加 平,일반역,,,37.814515,127.510693,한국철도공사,경기도 가평군 가평읍 문화로 13-42(달전리 567),1544-7788,2020-12-31
135,굴봉산역,k0210,경춘선,Gulbongsan,屈峰山,일반역,,,37.832086,127.557732,한국철도공사,강원도 춘천시 남산면 서백길 192(백양리 588-30),1544-7788,2020-12-31
136,백양리역,k0210,경춘선,Baegyang-ri,白楊里,일반역,,,37.830881,127.589085,한국철도공사,강원도 춘천시 남산면 북한강변길 690(강촌리 680-7),1544-7788,2020-12-31
137,강촌역,k0210,경춘선,Gangchon,江 村,일반역,,,37.805728,127.634054,한국철도공사,강원도 춘춘시 남산면 강촌로 150(방곡리 409),1544-7788,2020-12-31
138,김유정역,k0210,경춘선,Gimyujeong,金裕貞,일반역,,,37.818475,127.714302,한국철도공사,강원도 춘천시 신동면 김유정로 1435(신동면 증리 859-3),1544-7788,2020-12-31
139,남춘천역,k0210,경춘선,Namchuncheon,南春川,일반역,,,37.864071,127.723761,한국철도공사,강원도 춘천시 영서로 2260(퇴계동 633-2),1544-7788,2020-12-31
140,춘천역,k0210,경춘선,Chuncheon,春 川,일반역,,,37.884391,127.716603,한국철도공사,강원도 춘천시 평화로 1(근화동 190),1544-7788,2020-12-31
410,판교역,k0218,경강선,Pangyo,板橋,환승역,k0304+k0218,경강/신분당,37.394798,127.111135,한국철도공사,경기도 성남시 분당구 백현동 19-2,1544-7788,2020-12-31
412,삼동역,k0218,경강선,Samdong,三洞,일반역,,,37.408731,127.203447,한국철도공사,경기도 광주시 중대동 304,1544-7788,2020-12-31
413,경기광주역,k0218,경강선,GyeonggiGwangju,京畿廣州,일반역,,,37.398974,127.253201,한국철도공사,경기도 광주시 역동 176-13,1544-7788,2020-12-31
414,초월역,k0218,경강선,Chowol,草月,일반역,,,37.373389,127.299996,한국철도공사,경기도 광주시 초월읍 쌍동리 213-15,1544-7788,2020-12-31
415,곤지암역,k0218,경강선,Gonjiam,昆池岩,일반역,,,37.350525,127.346186,한국철도공사,경기도 광주시 곤지암읍 곤지암리 353-1,1544-7788,2020-12-31
416,신둔도예촌역,k0218,경강선,Sindundoyechon,新屯陶藝村,일반역,,,37.315499,127.405251,한국철도공사,경기도 이천시 신둔면 남정리 375-4,1544-7788,2020-12-31
155,수원역,k0201,경부선,Suwon,水 原,환승역,k0304+k0201,경부/분당,37.266162,126.999821,한국철도공사,경기도 수원시 팔달구 덕영대로 924,1544-7788,2020-12-31
156,세류역,k0201,경부선,Seryu,細 柳,일반역,,,37.244102,127.013772,한국철도공사,경기도 수원시 권선구 정조로 387,1544-7788,2020-12-31
157,병점역,k0201,경부선,Byeongjeom,餠 店,환승역,k0201+k0201,경부/서동탄,37.206821,127.033268,한국철도공사,경기도 화성시 떡전골로 97,1544-7788,2020-12-31
157,서동탄역,k0201,경부선,Seodongtan,西東灘,일반역,,,37.195675,127.051893,한국철도공사,경기도 오산시 외삼미로 15번길 75-60,1544-7788,2020-12-31
158,세마역,k0201,경부선,Sema,洗 馬,일반역,,,37.187288,127.043279,한국철도공사,경기도 오산시 세마역로 88,1544-7788,2020-12-31
159,오산대역,k0201,경부선,Osan College,烏山大,일반역,,,37.169401,127.063081,한국철도공사,경기도 오산시 청학로 236,1544-7788,2020-12-31
160,오산역,k0201,경부선,Osan,烏 山,일반역,,,37.145472,127.066708,한국철도공사,경기도 오산시 오산동 역광장로 59,1544-7788,2020-12-31
161,진위역,k0201,경부선,Jinwi,振 威,일반역,,,37.109771,127.062342,한국철도공사,경기도 평택시 경기대로 1855,1544-7788,2020-12-31
162,송탄역,k0201,경부선,Songtan,松 炭,일반역,,,37.075376,127.054397,한국철도공사,경기도 평택시 신장동 송탄공원로 43,1544-7788,2020-12-31
164,지제역,k0201,경부선,Jije,芝 制,일반역,,,37.018822,127.070269,한국철도공사,경기도 평택시 경기대로 777,1544-7788,2020-12-31
